epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,183.244,1.4383,1.53637,1.4764,0.67052,0.55854,0.58625,0.33712,1.53988,1.16825,1.25345,0.00997494,0.00332498,0.00997494,0.00332498,0.00997494,0.00332498,0.00997494,0.00332498
2,341.017,1.46914,1.42238,1.49884,0.3763,0.38999,0.36112,0.16799,1.9339,1.88426,1.5878,0.019909,0.00663634,0.019909,0.00663634,0.019909,0.00663634,0.019909,0.00663634
3,504.292,1.66173,1.73906,1.64919,0.30856,0.28186,0.22554,0.09253,2.15967,2.6909,1.80097,0.0297771,0.0099257,0.0297771,0.0099257,0.0297771,0.0099257,0.0297771,0.0099257
4,675.362,1.67418,1.80256,1.69066,0.50828,0.39802,0.40703,0.20712,1.87434,1.90377,1.56689,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,900.251,1.58311,1.62994,1.59911,0.5672,0.50696,0.46922,0.25035,1.70172,1.47521,1.43207,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1130.96,1.52038,1.50862,1.55537,0.55554,0.40612,0.46925,0.24955,1.73197,1.5647,1.46612,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1361.4,1.48019,1.47743,1.52445,0.64411,0.50422,0.56191,0.32836,1.59196,1.30344,1.39215,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1588.43,1.44058,1.40997,1.49311,0.66815,0.54907,0.60304,0.34918,1.56137,1.19194,1.33543,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1813.52,1.41325,1.38718,1.48364,0.60777,0.53622,0.57354,0.32899,1.53315,1.23252,1.31564,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,2045.2,1.39087,1.34629,1.46526,0.6465,0.50958,0.58945,0.36108,1.49246,1.21424,1.29037,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,2268.85,1.36871,1.30839,1.44263,0.69984,0.55107,0.62883,0.38625,1.45875,1.13146,1.27097,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,2494.4,1.3595,1.29792,1.43999,0.72321,0.59227,0.64919,0.40014,1.45409,1.08501,1.25574,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,2773.88,1.33591,1.26088,1.41638,0.69845,0.59065,0.64183,0.39176,1.45315,1.08262,1.27567,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,2993.48,1.32675,1.24528,1.40964,0.72657,0.58077,0.6753,0.42993,1.40066,1.06237,1.226,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,3203.97,1.31014,1.23656,1.40313,0.7512,0.58569,0.66135,0.42295,1.38386,1.0209,1.23312,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,3413.71,1.30002,1.21075,1.38762,0.75548,0.59396,0.67904,0.44187,1.32818,0.98435,1.19223,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,3623.47,1.28668,1.20935,1.38966,0.77643,0.57428,0.67979,0.43203,1.35401,1.00759,1.21722,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,3834.17,1.28209,1.19501,1.386,0.75721,0.59429,0.69207,0.45567,1.33309,0.97468,1.19754,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,4043.71,1.27674,1.17575,1.37344,0.79678,0.59792,0.69674,0.46286,1.31866,0.95934,1.18636,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,4253.89,1.26446,1.17439,1.37248,0.79412,0.59403,0.70208,0.46617,1.30594,0.94741,1.17546,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,4463.99,1.25518,1.15296,1.3598,0.76987,0.61435,0.70376,0.47401,1.29174,0.91584,1.16588,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,4673.65,1.25659,1.14848,1.35841,0.76957,0.62227,0.70306,0.46918,1.30581,0.9289,1.17551,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,4883.22,1.2467,1.14894,1.36044,0.7937,0.62128,0.71109,0.46988,1.28544,0.9062,1.16545,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,5093.37,1.23658,1.12869,1.35174,0.81306,0.6082,0.7137,0.47547,1.28068,0.89537,1.16618,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,5303.63,1.22922,1.11664,1.33795,0.76987,0.63543,0.71651,0.48118,1.27926,0.89964,1.16609,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,5513.22,1.22402,1.11889,1.345,0.79874,0.62628,0.71992,0.48825,1.27615,0.89262,1.16129,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,5722.9,1.21651,1.10157,1.33546,0.77152,0.64208,0.71745,0.48101,1.25815,0.88441,1.15567,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,5932.39,1.21444,1.09914,1.33476,0.79929,0.62823,0.71719,0.48436,1.25756,0.8834,1.1531,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,6142.05,1.21117,1.09074,1.32773,0.78446,0.6364,0.72154,0.49673,1.23543,0.86366,1.13806,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,6352.17,1.20366,1.08131,1.32065,0.78211,0.6367,0.72459,0.49742,1.23234,0.85747,1.13769,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,6562.31,1.20037,1.07748,1.31918,0.76345,0.64792,0.72523,0.4979,1.22759,0.85393,1.13133,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
