               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069537,            0.022028,           0.0091604,             0.51132,             0.50044,             0.50186,             0.23926,            0.054234,            0.027857,            0.004765,            0.070025,           0.0033306,           0.0033306
                   1,            0.057123,            0.018452,           0.0038766,             0.57858,             0.54095,             0.55665,              0.2831,            0.050368,            0.028273,             0.00502,            0.040003,           0.0066419,           0.0066419
                   2,            0.056504,            0.019055,           0.0043528,              0.5813,             0.49456,             0.48367,             0.23695,            0.054046,            0.032839,           0.0077613,           0.0099589,           0.0099313,           0.0099313
                   3,            0.056017,             0.01948,            0.004613,             0.55378,             0.53495,             0.56616,             0.28365,            0.052188,             0.02954,           0.0054816,            0.009901,            0.009901,            0.009901
                   4,             0.05416,            0.019287,           0.0039373,             0.62093,             0.54005,             0.58534,             0.31367,            0.049525,            0.028742,           0.0053266,            0.009901,            0.009901,            0.009901
                   5,            0.052651,            0.019072,           0.0034653,             0.68339,             0.54606,             0.62516,             0.34691,            0.049062,            0.028301,           0.0037385,            0.009868,            0.009868,            0.009868
                   6,             0.05191,            0.018557,           0.0033951,             0.61732,             0.50081,             0.59931,             0.33451,            0.048996,            0.027942,           0.0053551,            0.009835,            0.009835,            0.009835
                   7,            0.051207,            0.018498,           0.0030902,             0.61737,             0.57544,             0.60738,             0.32847,            0.047264,            0.027731,           0.0030461,            0.009802,            0.009802,            0.009802
                   8,            0.050723,            0.018377,            0.003008,             0.67984,             0.58153,             0.64104,               0.352,            0.047514,            0.027429,           0.0035125,            0.009769,            0.009769,            0.009769
                   9,            0.050596,            0.018415,           0.0029233,             0.67231,             0.57469,             0.64423,             0.36075,            0.046506,            0.027131,           0.0032415,            0.009736,            0.009736,            0.009736
                  10,            0.050038,            0.018267,            0.002699,              0.7066,             0.56771,             0.65976,             0.37365,             0.04613,            0.027011,            0.002791,            0.009703,            0.009703,            0.009703
                  11,            0.049628,            0.018147,           0.0027247,             0.67369,             0.58519,             0.64999,             0.36503,            0.045848,            0.026798,           0.0024737,             0.00967,             0.00967,             0.00967
                  12,            0.049621,            0.018078,            0.002649,             0.69065,              0.5908,             0.63915,             0.37037,            0.046974,            0.026573,           0.0036325,            0.009637,            0.009637,            0.009637
                  13,            0.049183,            0.017736,           0.0023932,             0.69411,              0.5675,             0.65449,              0.3681,            0.045654,            0.026797,            0.002817,            0.009604,            0.009604,            0.009604
                  14,            0.049128,            0.017966,           0.0024353,             0.71404,             0.57641,             0.66446,             0.38027,             0.04566,            0.026315,           0.0038151,            0.009571,            0.009571,            0.009571
                  15,            0.049004,            0.018089,            0.002239,             0.69816,              0.5896,              0.6604,              0.3832,            0.045057,            0.026561,           0.0029003,            0.009538,            0.009538,            0.009538
                  16,            0.048569,            0.017892,             0.00224,             0.72558,             0.61071,             0.67245,             0.39061,            0.044374,            0.026193,           0.0028482,            0.009505,            0.009505,            0.009505
                  17,            0.048467,            0.017805,           0.0022612,             0.69915,             0.60143,             0.67423,             0.40157,            0.044897,            0.026194,           0.0020903,            0.009472,            0.009472,            0.009472
                  18,            0.048404,             0.01785,           0.0022719,             0.73374,             0.60007,             0.67269,             0.40006,             0.04481,             0.02586,           0.0038166,            0.009439,            0.009439,            0.009439
                  19,            0.047867,            0.017707,           0.0020907,             0.73486,             0.61497,             0.68814,             0.40868,            0.044807,            0.025537,           0.0034184,            0.009406,            0.009406,            0.009406
                  20,            0.048139,            0.017556,           0.0022883,             0.73455,             0.61246,             0.68242,             0.40642,            0.044095,            0.025914,           0.0035844,            0.009373,            0.009373,            0.009373
                  21,            0.047835,            0.017493,            0.002183,             0.73475,             0.59893,               0.683,             0.40664,            0.043817,            0.025678,           0.0023697,             0.00934,             0.00934,             0.00934
                  22,            0.048084,            0.017578,           0.0021896,             0.72541,             0.60803,             0.67714,              0.4035,            0.044007,            0.025693,           0.0023311,            0.009307,            0.009307,            0.009307
                  23,            0.047781,            0.017809,           0.0021106,             0.71868,             0.62334,             0.67823,             0.40115,            0.043921,            0.025662,           0.0030992,            0.009274,            0.009274,            0.009274
                  24,             0.04755,            0.017551,           0.0021512,             0.72834,             0.62859,             0.69355,             0.41596,            0.043403,            0.025435,           0.0031372,            0.009241,            0.009241,            0.009241
                  25,            0.047429,              0.0176,            0.002049,             0.72733,             0.62312,             0.68871,             0.40954,            0.043422,            0.025516,           0.0029338,            0.009208,            0.009208,            0.009208
